127.0.0.1 - - [26/Jul/2023:20:18:52 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:18:55 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:18:57 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:18:57 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:43 -0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:45 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:46 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:46 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529159
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:52 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:54 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:55 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:55 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:55 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16832
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:19:55 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:50:54 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:50:54 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:51:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html?txtbusca=flex HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:51:42 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [26/Jul/2023:20:51:42 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:38 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html?txtbusca=flex HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:38 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:38 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:38 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:38 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529159
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:39 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:40 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:08:40 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4338
