127.0.0.1 - - [15/Aug/2023:22:01:00 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:01 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:01 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529159
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:01 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:01 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:01 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:02 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:05 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 7464
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:06 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/carregar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:06 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:06 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16832
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:14 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:14 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:14 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529159
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:14 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:15 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:15 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
